unique_id,name,gender,food
0096830,Steve Nowicki,m,NA
0055841,Dan Ariely,m,NA
0217560,Lori Leachman,f,NA
0329482,Robin Kirk,f,NA
0004031,George Grody,m,NA
0084092,David Banks,m,NA
0284644,Sonke Johnsen,m,NA
0137361,Catherine Admay,f,NA
0005545,Craig Henriquez,m,NA
0332908,Clark Bray,m,NA
0315845,Ana Barros,f,NA
0001255,Suzanne Shanahan,f,NA
0315387,Richard Brodhead,m,NA
0000000,Buz Waitskin,m,NA
0099533,John Aldrich,m,NA
0027858,Sue Wasiolek,f,NA
0297571,Pedro Lasch,m,NA
0198449,Emma Rasiel,f,NA
0055136,Owen Astrachan,m,NA
0278412,Nita Farahany,f,NA
0331940,Mark Anthony Neal,m,NA
0117347,Orin Starn,m,NA
0097070,Zbigniew Kabala,m,NA
0316163,Sarah Deutsch,f,NA
0116008,Dalene Stangl,f,NA
0117196,Leo Ching,m,NA
